Model,Score
OmnicromsBrain/NeuralStar_FusionWriter_4x7b,220.0
Open-Orca/Mistral-7B-OpenOrca,215.0
OpenBuddy/openbuddy-qwen2.5llamaify-7b-v23.1-200k,419.0
OpenLLM-France/Lucie-7B,145.0
OpenLLM-France/Lucie-7B-Instruct,150.0
OpenLLM-France/Lucie-7B-Instruct-human-data,127.0
OpenLLM-France/Lucie-7B-Instruct-v1.1,169.0
Orion-zhen/Qwen2.5-7B-Instruct-Uncensored,481.0
PJMixers-Dev/Qwen2.5-RomboTiesTest-7B,471.0
Qwen/Qwen1.5-7B,260.0
Qwen/Qwen1.5-7B-Chat,260.0
Qwen/Qwen2-7B,408.0
Qwen/Qwen2-7B-Instruct,373.0
Qwen/Qwen2-Math-7B,135.0
Qwen/Qwen2.5-7B,454.0
Qwen/Qwen2.5-7B-Instruct,469.0
Qwen/Qwen2.5-Coder-7B,398.0
Qwen/Qwen2.5-Coder-7B-Instruct,346.0
Qwen/Qwen2.5-Math-7B,390.0
Qwen/Qwen2.5-Math-7B-Instruct,431.0
Rakuten/RakutenAI-7B,222.0
Replete-AI/Replete-LLM-Qwen2-7b,151.0
Replete-AI/Replete-LLM-Qwen2-7b_Beta-Preview,151.0
Ro-xe/FMixIA-7B-DARE-0,242.0
Ro-xe/FMixIA-7B-SLERP-27,256.0
Ro-xe/FMixIA-7B-TIES-1,244.0
Rombo-Org/Rombo-LLM-V2.5-Qwen-7b,472.0
RubielLabarta/LogoS-7Bx2-MoE-13B-v0.2,266.0
Sakalti/Magro-7B-v1.1,234.0
Sakalti/SJT-7B-V1.1,463.0
Sakalti/SJT-7B-V1.1-Multilingal,147.0
Sakalti/Saba1-7B,448.0
Sakalti/SakalFusion-7B-Alpha,463.0
Sakalti/SakalFusion-7B-Beta,123.0
Sakalti/light-7b-beta,468.0
Sakalti/magro-7B,235.0
SanjiWatsuki/Silicon-Maid-7B,275.0
SeaLLMs/SeaLLM-7B-v2,244.0
SeaLLMs/SeaLLMs-v3-7B-Chat,368.0
SicariusSicariiStuff/Impish_QWEN_7B-1M,422.0
SkyOrbis/SKY-Ko-Qwen2.5-7B-Instruct-SFT-step-5000,437.0
StelleX/Qwen2.5_Math_7B_Cot,436.0
StelleX/Vorisatex-7B-preview,145.0
TIGER-Lab/AceCodeRM-7B,376.0
TIGER-Lab/AceCoder-Qwen2.5-7B-Ins-Rule,476.0
TIGER-Lab/AceCoder-Qwen2.5-Coder-7B-Ins-Rule,380.0
TIGER-Lab/MAmmoTH2-7B-Plus,265.0
TIGER-Lab/Qwen2.5-Math-7B-CFT,416.0
TTTXXX01/Mistral-7B-Base-SimPO2-5e-7,234.0
Triangle104/DS-R1-Distill-Q2.5-7B-RP,393.0
Triangle104/DSR1-Distill-Qwen-7B-RP,422.0
Triangle104/Minerva-7b,456.0
Triangle104/Q2.5-EVACOT-7b,439.0
Triangle104/Q2.5-R1-7B,147.0
Triangle104/Rombos-Novasky-7B_V1c,331.0
Tsunami-th/Tsunami-0.5-7B-Instruct,484.0
Tsunami-th/Tsunami-0.5x-7B-Instruct,492.0
Tsunami-th/Tsunami-1.0-7B-Instruct,476.0
Unbabel/TowerInstruct-Mistral-7B-v0.2,162.0
VAGOsolutions/SauerkrautLM-7b-HerO,254.0
VAGOsolutions/SauerkrautLM-7b-LaserChat,264.0
VAGOsolutions/SauerkrautLM-Gemma-7b,236.0
VAGOsolutions/SauerkrautLM-Mixtral-8x7B-Instruct,301.0
Weyaxi/Einstein-v4-7B,162.0
Xiaojian9992024/Qwen2.5-7B-MS-Destroyer,482.0
Xiaojian9992024/Qwen2.5-Dyanka-7B-Preview,476.0
Xiaojian9992024/Qwen2.5-Dyanka-7B-Preview-v0.2,459.0
YOYO-AI/Qwen2.5-7B-it-restore,476.0
Yash21/TinyYi-7B-Test,126.0
Yuma42/KangalKhan-RawRuby-7B,242.0
ZHLiu627/zephyr-7b-gemma-dpo-avg,245.0
ZHLiu627/zephyr-7b-gemma-rpo-avg,236.0
ZeroXClem/Qwen-2.5-Aether-SlerpFusion-7B,467.0
ZeroXClem/Qwen2.5-7B-CelestialHarmony-1M,439.0
ZeroXClem/Qwen2.5-7B-HomerAnvita-NerdMix,476.0
ZeroXClem/Qwen2.5-7B-HomerCreative-Mix,476.0
ZeroXClem/Qwen2.5-7B-Qandora-CySec,481.0
adriszmar/QAIMath-Qwen2.5-7B-TIES,133.0
allenai/OLMo-1.7-7B-hf,142.0
allenai/OLMo-7B-Instruct-hf,140.0
allenai/OLMo-7B-hf,129.0
allenai/OLMoE-1B-7B-0125-Instruct,146.0
allenai/OLMoE-1B-7B-0924,160.0
allenai/OLMoE-1B-7B-0924-Instruct,147.0
allknowingroger/HomerSlerp1-7B,477.0
allknowingroger/HomerSlerp2-7B,470.0
allknowingroger/HomerSlerp3-7B,472.0
allknowingroger/HomerSlerp4-7B,464.0
allknowingroger/LimyQstar-7B-slerp,265.0
allknowingroger/Marco-01-slerp1-7B,471.0
allknowingroger/Meme-7B-slerp,221.0
allknowingroger/Mistralmash1-7B-s,271.0
allknowingroger/Mistralmash2-7B-s,264.0
allknowingroger/MultiCalm-7B-slerp,260.0
allknowingroger/MultiMerge-7B-slerp,264.0
allknowingroger/MultiverseEx26-7B-slerp,264.0
allknowingroger/NeuralWestSeverus-7B-slerp,274.0
allknowingroger/Neuralcoven-7B-slerp,285.0
allknowingroger/Neuralmultiverse-7B-slerp,264.0
allknowingroger/Qwen2.5-7B-task2,476.0
allknowingroger/Qwen2.5-7B-task3,472.0
