Model_Name,Theta_ATLAS,Theta_WLE,SE,Num_Items,Time_Taken_Sec
Columbia-NLP/gemma-2b-zephyr-sft,-1.73177413871607,-1.78356339656158,0.142924869491925,30,11.6846315860748
concedo/Phi-SoSerious-Mini-V1,-0.801495723401734,-0.98343832796722,0.140010747536954,30,11.6722795963287
cookinai/Llama-3-SOLAR-v0.1,-1.07287209062787,-1.05776808362994,0.144724686150048,30,11.6776552200317
cookinai/Llama-3-SOLAR-v0.2,-1.13379311303959,-1.09336841337235,0.142377279280552,30,11.6687345504761
cookinai/LlamaReflect-8B-CoT,-1.13205136983187,-1.16592204993766,0.135147847871326,30,11.6451852321625
cookinai/LlamaReflect-8B-CoT-safetensors,-1.14936275967682,-1.16592204993766,0.139696644541807,30,11.6500699520111
cookinai/NeuralLlama-3-ORPO,-1.11645069536115,-1.12720646235147,0.134154032057765,30,11.6892392635345
Cran-May/Test2_SLIDE,-1.02850771377335,-0.886875574820247,0.135836785412421,30,11.6349334716797
CreitinGameplays/ConvAI-9b,-0.567981381162485,-0.760126602033207,0.112679816632644,30,11.689120054245
cstr/llama3-8b-spaetzle-v13,-0.269840381651916,-0.33596733223632,0.117162177776752,30,11.6357083320618
cstr/llama3-8b-spaetzle-v20,0.0905850439893974,-0.0900249614231227,0.0969329875731325,30,11.6632103919983
cstr/Spaetzle-v69-7b,0.74911287396366,0.791275414505888,0.058455184056608,30,11.6052815914154
cstr/phi-3-orpo-v9_16,-1.12017128567981,-1.05949846712643,0.140660275807234,30,11.6497995853424
CultriX/AlphaCeption-7B-v1,1.81384660128425,1.88099348421109,0.116820432135856,30,11.6564326286316
CultriX/MonaCeption-7B-SLERP-DPO,1.77311571308663,1.79301960888807,0.106834583213276,30,11.6349949836731
CultriX/MonaTrix-7B-DPOv2,1.73617743463033,1.75429399195632,0.100308787902079,30,11.6538784503937
CultriX/MonaTrix-v4-7B-DPO,1.73668412952239,1.7358471911153,0.0993875939680154,30,11.6631374359131
cypienai/cymist-2-v02-SFT,-0.284196156066293,-0.320324308228219,0.11364510327209,30,11.6589183807373
DAMO-NLP-SG/CLEX-Mixtral-8x7B-Chat-32K,-0.512330583265693,-0.496889669462113,0.109984039847539,30,11.6088726520538
Dampfinchen/Llama-3-8B-Ultra-Instruct-SaltSprinkle,-0.937074089578795,-0.938280572488836,0.131286668556842,30,11.6397490501404
Danielbrdz/Barcenas-3.8b,-0.784039046435156,-0.873864812966828,0.135135314450986,30,11.6568419933319
Danielbrdz/Barcenas-Llama3-8b-ORPO,-0.457248533252477,-0.345966936840313,0.109041569357192,30,11.6655666828156
danyoung/billie,0.497581293285591,0.513026187465453,0.0636918724472064,30,11.6304755210876
ddyuudd/m_b_8_32,-0.36155868675138,-0.426195365186321,0.113967439266984,30,11.6600761413574
databricks/dbrx-instruct,-0.482177311705506,-0.836280983077413,0.108205107125532,30,11.6715536117554
ddyuudd/m_b_4_32,-0.347930298729038,-0.426366297121338,0.114029994509743,30,11.6605043411255
DeepMount00/Llama-3-8b-Ita,0.961116805459104,-0.150336073966185,0.0756922039968421,30,11.6427824497223
DeepMount00/Mistral-Ita-7b,1.26827501214211,-2.35515249207585,0.0646088668852766,30,11.6313953399658
DeepMount00/Mistral-RAG,1.24886228706476,-2.75925429645699,0.0627084615954898,30,11.6539540290833
DeepMount00/Phi-3-Mini-4K-Boost,-0.760872731660261,-0.809343390237466,0.131891492700558,30,11.6574461460114
DeepMount00/phi_3,-0.752891036106525,-0.809343390237466,0.139851033226073,30,11.673928976059
deepseek-ai/deepseek-math-7b-rl,-1.56961854043816,-1.55243938863491,0.13695183776948,30,11.6743357181549
