"","M2","df","p","RMSEA","RMSEA_5","RMSEA_95","SRMSR","TLI","CFI"
"stats",67600.3039764495,5250,0,0.0534117036165784,0.0530465540976647,0.0537648040043117,0.0548374097550355,0.789139888539836,0.797249892826766
"stats",76802.4010026856,5250,0,0.057217548786385,0.0568528550887583,0.0575692369491655,0.0574387623932751,0.807429944088027,0.814836484700026
"stats",80828.1758198775,5250,0,0.058805147760627,0.0584405928267173,0.0591562993015454,0.0620580629111561,0.851041873669057,0.856771032374093
"stats",76879.8476680897,5250,0,0.0572485058881458,0.0568838151600037,0.0576001833175507,0.064876622594131,0.834861020623976,0.841212519830746
"stats",74357.8349714822,5250,0,0.0562316447483854,0.0558668506621629,0.0565836806934302,0.0644828860023713,0.80330582970281,0.810870990098855
"stats",70336.3715988066,5250,0,0.0545710328405489,0.054206042486415,0.0549236823272278,0.0573539909640473,0.824672121592967,0.831415501531699
"stats",111005.220507787,5250,0,0.0695613577689909,0.0691971802344734,0.0699094514517555,0.0703525064393112,0.622668388202103,0.637181142502022
"stats",95244.0218090947,5353,0,0.0635120793379988,0.0631512392504804,0.0638583270170485,0.0683595889906936,0.733326489752971,0.743485480619525
