"X","a1","d","g","u"
"X1",3.72239789894808,2.73981717267053,0.765381312789899,1
"X2",1.27627401450055,4.40741092709816,0.208136830767694,1
"X3",1.78093206107071,2.04874088874882,0.0797032397340846,1
"X5",1.40716120815429,3.54325421505103,0.484659231372668,1
"X6",-0.50539507597544,2.08237285500355,0.00414335981471734,1
"X7",6.89743033913596,-5.73154142527264,0.103065411955675,1
"X8",7.67197694620774,5.18420552066488,0.711272524500972,1
"X10",2.4615044487224,7.0536654762902,0.274733227698449,1
"X11",2.25003484622452,10.1307001491029,0.271205515471688,1
"X12",4.37663097304794,2.98215766610278,0.445621031442226,1
"X13",2.42490490385136,2.88654636610433,0.821731250131631,1
"X15",2.60379254846591,-1.94486295360412,0.142805715377147,1
"X16",3.55535779160421,-1.55069142638344,0.24762758496473,1
"X17",1.65564049942844,-2.40912448701116,0.116429785900216,1
"X18",2.86100265900241,-4.36281257612253,0.673968990262683,1
"X19",2.9558399725211,6.57637105483887,0.469651000773978,1
"X20",3.60787766859944,4.10976765525447,0.556407159287212,1
"X21",3.56722518825607,1.97367785373701,0.529849823680739,1
"X24",1.03925196956095,4.64545237624796,0.163602177380419,1
"X26",5.39380671745337,-2.48676207475655,0.161604802412511,1
"X27",0.791969953102854,-0.854089437986507,0.00255601494639545,1
"X28",-0.17187368351992,-8.11742499748726,0.000649851384192018,1
"X29",0.553965037772173,1.08450717435583,0.0620481995884296,1
"X30",-0.060044638104765,-1.95388328372832,0.0370765777216018,1
"X31",8.14180926804117,-8.12598367869242,0.322054121765625,1
"X32",3.67218599923896,6.22397995916329,0.594548154953604,1
"X35",1.13159160350621,-0.0294892251284146,0.350220500654221,1
"X36",-2.26678302320266,-9.81093961500385,0.00243963847463207,1
"X37",0.620349237393912,0.265144291910176,0.0025666894025908,1
"X39",-0.998849275807244,-3.59739474466855,0.000525616586349662,1
"X40",-2.21030486733355,-9.04298171523681,0.0134957584337917,1
"X41",3.42872274253311,-0.21925459656677,0.660803203416826,1
"X42",2.29458673501197,6.51261100174585,0.42425700536587,1
"X43",2.29288831871575,7.83049278493879,0.161124748209233,1
"X44",0.398391312325903,-4.95571135310071,0.00204512712740901,1
"X45",1.80911398473518,1.83371730588946,0.600305031515658,1
"X48",5.24428422281317,-2.36906894693388,0.217122340399924,1
"X49",1.68685017118078,5.83484452680367,0.0914131628432149,1
"X50",1.80140963058541,8.18382505831214,0.232003300141072,1
"X52",1.2037281444999,5.03128343755571,0.124767866753097,1
"X53",0.443495468096839,-4.05346963692925,0.000608077878459484,1
"X54",3.41489942369567,7.18944845482151,0.674262939171328,1
"X55",0.521023586405378,2.58712840685251,0.0321710171308012,1
"X56",1.61804050267888,4.15683102177628,0.519834821507507,1
